"","sample_ID","sample_type","compound_ID","compound_CAS","compound_name","compound_abbr","mean_ID","mean_ID_control","control_type","conc_ID","conc_amt","conc_unit","conc_max","conc_min","rep","read_depth","plate_ID","plate_well","plate_row","plate_col","batch","timepoint","cell_type","compound_class","LOAEL_amt","LOAEL_unit","PBPK_equivalent","PBPK_serum_level","lib_size","low_reads_flag","max_r2","low_corr_flag"
"12","CS1106_C4_P1_R3","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_4_P1","DMSOLow_P1","DMSOLow",4,3.1,"µM",180,0.03,3,163.322282874007,"P1","D8","D",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3680141,FALSE,0.974090289318165,FALSE
"13","CS1106_C5_P1_R1","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_5_P1","DMSOLow_P1","DMSOLow",5,10,"µM",180,0.03,1,156.121776949363,"P1","E8","E",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3517892,FALSE,0.978424913970315,FALSE
"14","CS1106_C5_P1_R2","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_5_P1","DMSOLow_P1","DMSOLow",5,10,"µM",180,0.03,2,146.870856077753,"P1","E8","E",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3309441,FALSE,0.978105350391076,FALSE
"15","CS1106_C5_P1_R3","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_5_P1","DMSOLow_P1","DMSOLow",5,10,"µM",180,0.03,3,212.572271779168,"P1","C8","C",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",4789891,FALSE,0.978424913970315,FALSE
"16","CS1106_C6_P1_R1","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_6_P1","DMSOLow_P1","DMSOLow",6,32,"µM",180,0.03,1,189.986686193583,"P1","F8","F",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",4280970,FALSE,0.981235350010792,FALSE
"17","CS1106_C6_P1_R2","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_6_P1","DMSOLow_P1","DMSOLow",6,32,"µM",180,0.03,2,214.317889317889,"P1","F8","F",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",4829225,FALSE,0.981235350010792,FALSE
"18","CS1106_C6_P1_R3","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_6_P1","DMSOLow_P1","DMSOLow",6,32,"µM",180,0.03,3,154.41747658989,"P1","B8","B",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3479489,FALSE,0.977541419654793,FALSE
"19","CS1106_C7_P1_R1","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_7_P1","DMSOHigh_P1","DMSOHigh",7,180,"µM",180,0.03,1,166.700528114321,"P1","F9","F",9,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3756263,FALSE,0.977023351497015,FALSE
"20","CS1106_C7_P1_R2","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_7_P1","DMSOHigh_P1","DMSOHigh",7,180,"µM",180,0.03,2,156.094084232015,"P1","F9","F",9,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3517268,FALSE,0.977023351497015,FALSE
"21","CS1106_C7_P1_R3","Treatment","CS1106","110-97-4","Diisopropanolamine","DIPA","CS1106_7_P1","DMSOHigh_P1","DMSOHigh",7,180,"µM",180,0.03,3,145.091110815249,"P1","A8","A",8,1,24,"PHH","High toxicity",100,"mg/kg/d",60.65154616,"10 mg/kg",3269338,FALSE,0.966969465681732,FALSE
"22","CS1133_C1_P6_R1","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_1_P6","Medium_P6","Medium",1,0.03,"µM",180,0.03,1,168.354591044246,"P6","A6","A",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",3793534,FALSE,0.979247669145879,FALSE
"23","CS1133_C1_P6_R2","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_1_P6","Medium_P6","Medium",1,0.03,"µM",180,0.03,2,194.970576487818,"P6","A6","A",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",4393272,FALSE,0.979247669145879,FALSE
"24","CS1133_C1_P6_R3","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_1_P6","Medium_P6","Medium",1,0.03,"µM",180,0.03,3,88.7902631695735,"P6","F9","F",9,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",2000711,FALSE,0.971807051050738,FALSE
"25","CS1133_C2_P6_R1","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_2_P6","Medium_P6","Medium",2,0.3,"µM",180,0.03,1,169.189943638219,"P6","B6","B",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",3812357,FALSE,0.974924665060219,FALSE
"26","CS1133_C2_P6_R2","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_2_P6","Medium_P6","Medium",2,0.3,"µM",180,0.03,2,190.006257489016,"P6","B6","B",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",4281411,FALSE,0.974924665060219,FALSE
"27","CS1133_C2_P6_R3","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_2_P6","Medium_P6","Medium",2,0.3,"µM",180,0.03,3,100.371987751298,"P6","F9","F",9,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",2261682,FALSE,0.971721885014964,FALSE
"28","CS1133_C3_P6_R1","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_3_P6","Medium_P6","Medium",3,1,"µM",180,0.03,1,201.880086983535,"P6","C6","C",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",4548964,FALSE,0.978115642976414,FALSE
"29","CS1133_C3_P6_R2","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_3_P6","Medium_P6","Medium",3,1,"µM",180,0.03,2,232.744019881951,"P6","C6","C",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",5244421,FALSE,0.977503419467053,FALSE
"30","CS1133_C3_P6_R3","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_3_P6","Medium_P6","Medium",3,1,"µM",180,0.03,3,122.12146629388,"P6","E9","E",9,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",2751763,FALSE,0.978115642976414,FALSE
"31","CS1133_C4_P6_R1","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_4_P6","Medium_P6","Medium",4,3.1,"µM",180,0.03,1,195.838725424932,"P6","D6","D",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",4412834,FALSE,0.980276653450314,FALSE
"32","CS1133_C4_P6_R2","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_4_P6","Medium_P6","Medium",4,3.1,"µM",180,0.03,2,198.373762925487,"P6","D6","D",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",4469956,FALSE,0.980276653450314,FALSE
"33","CS1133_C4_P6_R3","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_4_P6","Medium_P6","Medium",4,3.1,"µM",180,0.03,3,93.3830382106244,"P6","D9","D",9,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",2104200,FALSE,0.975441562602793,FALSE
"34","CS1133_C5_P6_R1","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_5_P6","Medium_P6","Medium",5,10,"µM",180,0.03,1,204.311720587583,"P6","E6","E",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",4603756,FALSE,0.982283304289809,FALSE
"35","CS1133_C5_P6_R2","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_5_P6","Medium_P6","Medium",5,10,"µM",180,0.03,2,183.073447832069,"P6","E6","E",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",4125194,FALSE,0.982283304289809,FALSE
"36","CS1133_C5_P6_R3","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_5_P6","Medium_P6","Medium",5,10,"µM",180,0.03,3,125.201571029157,"P6","C9","C",9,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",2821167,FALSE,0.975402778872706,FALSE
"37","CS1133_C6_P6_R1","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_6_P6","Medium_P6","Medium",6,32,"µM",180,0.03,1,231.091110815249,"P6","F6","F",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",5207176,FALSE,0.98108398456833,FALSE
"38","CS1133_C6_P6_R2","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_6_P6","Medium_P6","Medium",6,32,"µM",180,0.03,2,210.226600985222,"P6","F6","F",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",4737036,FALSE,0.98108398456833,FALSE
"39","CS1133_C6_P6_R3","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_6_P6","Medium_P6","Medium",6,32,"µM",180,0.03,3,105.465495051702,"P6","B9","B",9,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",2376454,FALSE,0.973524054930826,FALSE
"40","CS1133_C7_P6_R1","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_7_P6","Medium_P6","Medium",7,180,"µM",180,0.03,1,172.228864332313,"P6","G6","G",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",3880833,FALSE,0.970744936360336,FALSE
"41","CS1133_C7_P6_R2","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_7_P6","Medium_P6","Medium",7,180,"µM",180,0.03,2,172.280743797985,"P6","G6","G",6,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",3882002,FALSE,0.970214887111631,FALSE
"42","CS1133_C7_P6_R3","Treatment","CS1133","60-18-4","L-Tyrosine","Tyr","CS1133_7_P6","Medium_P6","Medium",7,180,"µM",180,0.03,3,98.8361070430036,"P6","A9","A",9,3,24,"PHH","Low toxicity",400,"mg/kg/d",36.20545704,"10 mg/kg",2227074,FALSE,0.970744936360336,FALSE
"43","DMSOHigh1_C2_P1_R1","Control","DMSOHigh",NA,"DMSO","DMSO","DMSOHigh_P1",NA,NA,0,NA,NA,NA,NA,1,157.887098921582,"P1","H4","H",4,NA,24,"PHH",NA,NA,NA,NA,NA,3557670,FALSE,0.979385655105634,FALSE
"44","DMSOHigh2_C2_P1_R1","Control","DMSOHigh",NA,"DMSO","DMSO","DMSOHigh_P1",NA,NA,0,NA,NA,NA,NA,1,152.519238450273,"P1","H5","H",5,NA,24,"PHH",NA,NA,NA,NA,NA,3436716,FALSE,0.978302930190254,FALSE
"45","DMSOHigh1_C2_P1_R2","Control","DMSOHigh",NA,"DMSO","DMSO","DMSOHigh_P1",NA,NA,0,NA,NA,NA,NA,2,199.224692672969,"P1","H4","H",4,NA,24,"PHH",NA,NA,NA,NA,NA,4489130,FALSE,0.979571701539802,FALSE
"46","DMSOHigh2_C2_P1_R2","Control","DMSOHigh",NA,"DMSO","DMSO","DMSOHigh_P1",NA,NA,0,NA,NA,NA,NA,2,161.537034571517,"P1","H5","H",5,NA,24,"PHH",NA,NA,NA,NA,NA,3639914,FALSE,0.979571701539802,FALSE
"47","DMSOHigh1_C2_P1_R3","Control","DMSOHigh",NA,"DMSO","DMSO","DMSOHigh_P1",NA,NA,0,NA,NA,NA,NA,3,195.300181955354,"P1","E2","E",2,NA,24,"PHH",NA,NA,NA,NA,NA,4400699,FALSE,0.980147624430833,FALSE
"48","DMSOHigh2_C2_P1_R3","Control","DMSOHigh",NA,"DMSO","DMSO","DMSOHigh_P1",NA,NA,0,NA,NA,NA,NA,3,169.692806106599,"P1","F2","F",2,NA,24,"PHH",NA,NA,NA,NA,NA,3823688,FALSE,0.980147624430833,FALSE
"49","DMSOLow1_C1_P1_R1","Control","DMSOLow",NA,"DMSO","DMSO","DMSOLow_P1",NA,NA,0,NA,NA,NA,NA,1,155.468557227178,"P1","H2","H",2,NA,24,"PHH",NA,NA,NA,NA,NA,3503173,FALSE,0.979080086643431,FALSE
"50","DMSOLow2_C1_P1_R1","Control","DMSOLow",NA,"DMSO","DMSO","DMSOLow_P1",NA,NA,0,NA,NA,NA,NA,1,181.534371810234,"P1","H3","H",3,NA,24,"PHH",NA,NA,NA,NA,NA,4090514,FALSE,0.979584433253819,FALSE
"51","DMSOLow1_C1_P1_R2","Control","DMSOLow",NA,"DMSO","DMSO","DMSOLow_P1",NA,NA,0,NA,NA,NA,NA,2,119.846580570719,"P1","H2","H",2,NA,24,"PHH",NA,NA,NA,NA,NA,2700503,FALSE,0.975640854610465,FALSE
"52","DMSOLow2_C1_P1_R2","Control","DMSOLow",NA,"DMSO","DMSO","DMSOLow_P1",NA,NA,0,NA,NA,NA,NA,2,119.643766919629,"P1","H3","H",3,NA,24,"PHH",NA,NA,NA,NA,NA,2695933,FALSE,0.972506636456945,FALSE
"53","DMSOLow1_C1_P1_R3","Control","DMSOLow",NA,"DMSO","DMSO","DMSOLow_P1",NA,NA,0,NA,NA,NA,NA,3,196.644255092531,"P1","C2","C",2,NA,24,"PHH",NA,NA,NA,NA,NA,4430985,FALSE,0.979618520266878,FALSE
"54","DMSOLow2_C1_P1_R3","Control","DMSOLow",NA,"DMSO","DMSO","DMSOLow_P1",NA,NA,0,NA,NA,NA,NA,3,165.676740780189,"P1","D2","D",2,NA,24,"PHH",NA,NA,NA,NA,NA,3733194,FALSE,0.979618520266878,FALSE
"55","Medium1_C1_P6_R1","Control","Medium",NA,"Medium","Medium","Medium_P6",NA,NA,0,NA,NA,NA,NA,1,165.414458793769,"P6","G1","G",1,NA,24,"PHH",NA,NA,NA,NA,NA,3727284,FALSE,0.981488765562552,FALSE
"56","Medium2_C1_P6_R1","Control","Medium",NA,"Medium","Medium","Medium_P6",NA,NA,0,NA,NA,NA,NA,1,162.494075356144,"P6","H1","H",1,NA,24,"PHH",NA,NA,NA,NA,NA,3661479,FALSE,0.981488765562552,FALSE
"57","Medium1_C1_P6_R2","Control","Medium",NA,"Medium","Medium","Medium_P6",NA,NA,0,NA,NA,NA,NA,2,166.368259885501,"P6","G1","G",1,NA,24,"PHH",NA,NA,NA,NA,NA,3748776,FALSE,0.981575041285389,FALSE
"58","Medium2_C1_P6_R2","Control","Medium",NA,"Medium","Medium","Medium_P6",NA,NA,0,NA,NA,NA,NA,2,162.697377180136,"P6","H1","H",1,NA,24,"PHH",NA,NA,NA,NA,NA,3666060,FALSE,0.981575041285389,FALSE
"59","Medium1_C1_P6_R3","Control","Medium",NA,"Medium","Medium","Medium_P6",NA,NA,0,NA,NA,NA,NA,3,55.7110460213908,"P6","A2","A",2,NA,24,"PHH",NA,NA,NA,NA,NA,1255337,FALSE,0.970170142528204,FALSE
"60","Medium2_C1_P6_R3","Control","Medium",NA,"Medium","Medium","Medium_P6",NA,NA,0,NA,NA,NA,NA,3,145.163804198287,"P6","B2","B",2,NA,24,"PHH",NA,NA,NA,NA,NA,3270976,FALSE,0.978364075063656,FALSE
