"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Toxicity"
"74","Protein Trimerization (GO:0070206)","2/15",0.00669741795516818,0.110778913204403,0,0,18.593808630394,93.0812234425682,"STEAP4;S100A9","High"
"75","Regulation of Plasminogen Activation (GO:0010755)","2/16",0.00761270549647841,0.122373588030427,0,0,17.2648083623693,84.216641495364,"ENO1;RUNX1","High"
"76","Ruffle Organization (GO:0031529)","2/16",0.00761270549647841,0.122373588030427,0,0,17.2648083623693,84.216641495364,"PLEK;RNASE1","High"
"77","Antimicrobial Humoral Response (GO:0019730)","5/147",0.00769833846269845,0.122373588030427,0,0,4.30670982416237,20.9596832989559,"CXCL10;CXCL11;CXCL9;S100A9;CCL15","High"
"78","Negative Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)","2/17",0.00858100049528372,0.131289307577841,0,0,16.1130081300813,76.6689920539892,"CNN1;SOD2","High"
"79","Release of Cytochrome C From Mitochondria (GO:0001836)","2/17",0.00858100049528372,0.131289307577841,0,0,16.1130081300813,76.6689920539892,"SOD2;BCL2L1","High"
"80","Cortical Actin Cytoskeleton Organization (GO:0030866)","2/17",0.00858100049528372,0.131289307577841,0,0,16.1130081300813,76.6689920539892,"DLG1;PLEK","High"
"81","Organic Hydroxy Compound Transport (GO:0015850)","3/51",0.00873581001401433,0.132007795767328,0,0,7.58665644171779,35.9632142208111,"RBP4;AKR1C1;AKR1C4","High"
"82","Regulation of Substrate Adhesion-Dependent Cell Spreading (GO:1900024)","3/52",0.00921503017113283,0.135893938909236,0,0,7.43145110805058,34.83061247053,"NEDD9;RNASE1;GBP1","High"
"83","Positive Regulation of Reactive Oxygen Species Metabolic Process (GO:2000379)","3/52",0.00921503017113283,0.135893938909236,0,0,7.43145110805058,34.83061247053,"PRKCE;AKR1C1;AKR1C3","High"
"84","Positive Regulation of Lymphocyte Migration (GO:2000403)","2/18",0.00960137087751765,0.139905689929543,0,0,15.1051829268293,70.1764049009769,"CXCL10;NEDD9","High"
"85","Hemopoiesis (GO:0030097)","4/101",0.0100207107970156,0.144298235477025,0,0,5.02405498281787,23.1262337615073,"MFAP5;ZBTB16;PLEK;RUNX1","High"
"86","Defense Response to Bacterium (GO:0042742)","6/221",0.0104657257577799,0.146113327461483,0,0,3.42191860465116,15.6027497097754,"GSDMB;RNF213;RNASE1;S100A9;GBP1;S100A8","High"
"87","Negative Regulation of Lipid Catabolic Process (GO:0050995)","2/19",0.0106728962272438,0.146113327461483,0,0,14.2159253945481,64.5409810117963,"APOC1;PLIN5","High"
"88","Cell Projection Organization (GO:0030030)","2/19",0.0106728962272438,0.146113327461483,0,0,14.2159253945481,64.5409810117963,"PLEK;RNASE1","High"
"89","DNA-templated DNA Replication (GO:0006261)","3/55",0.0107436270192267,0.146113327461483,0,0,7.00165172251062,31.7415857384662,"POLD2;POLE3;SSBP1","High"
"90","Positive Regulation of Protein Localization to Plasma Membrane (GO:1903078)","3/55",0.0107436270192267,0.146113327461483,0,0,7.00165172251062,31.7415857384662,"DLG1;PRKCE;STX3","High"
"91","Regulation of Fibroblast Migration (GO:0010762)","2/20",0.0117946676558055,0.150951222783226,0,0,13.4254742547425,59.6105521948965,"PRKCE;RNASE1","High"
"92","T Cell Migration (GO:0072678)","2/20",0.0117946676558055,0.150951222783226,0,0,13.4254742547425,59.6105521948965,"CXCL10;CXCL11","High"
"93","Regulation of Sodium Ion Transmembrane Transport (GO:1902305)","2/20",0.0117946676558055,0.150951222783226,0,0,13.4254742547425,59.6105521948965,"DLG1;PRKCE","High"
"94","Cellular Response to Fatty Acid (GO:0071398)","2/20",0.0117946676558055,0.150951222783226,0,0,13.4254742547425,59.6105521948965,"AKR1C3;AKR1C4","High"
"95","Positive Regulation of Protein Localization to Cell Periphery (GO:1904377)","3/57",0.0118393115908412,0.150951222783226,0,0,6.74164962508521,29.9081810916793,"DLG1;PRKCE;STX3","High"
"96","Myeloid Cell Differentiation (GO:0030099)","3/57",0.0118393115908412,0.150951222783226,0,0,6.74164962508521,29.9081810916793,"HSPA9;ZBTB16;RUNX1","High"
"97","Positive Regulation of Cell Growth (GO:0030307)","4/107",0.0121930264527629,0.153858395651358,0,0,4.7299532542251,20.8443888658889,"GOLGA4;S100A9;TEAD1;S100A8","High"
"98","Positive Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904707)","2/21",0.0129657876792048,0.155147016323941,0,0,12.7182284980745,55.2663129308701,"IGFBP5;MMP2","High"
"99","Lymphocyte Chemotaxis (GO:0048247)","2/21",0.0129657876792048,0.155147016323941,0,0,12.7182284980745,55.2663129308701,"CXCL10;CXCL11","High"
"100","Regulation of Cardiac Muscle Cell Proliferation (GO:0060043)","2/21",0.0129657876792048,0.155147016323941,0,0,12.7182284980745,55.2663129308701,"RBP4;RUNX1","High"
"101","Protein Homotetramerization (GO:0051289)","3/59",0.0129969761544896,0.155147016323941,0,0,6.50021910604733,28.2307021745162,"TDO2;SSBP1;SOD2","High"
"102","Apoptotic Process (GO:0006915)","6/232",0.0130556721252989,0.155147016323941,0,0,3.25353982300885,14.115588568091,"PRKCE;ZBTB16;GLMN;PAEP;IFIT2;BCL2L1","High"
"103","Translation (GO:0006412)","6/232",0.0130556721252989,0.155147016323941,0,0,3.25353982300885,14.115588568091,"RPL7A;RPS3;RPL38;RPL27;RPS20;MRPL45","High"
"104","Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)","9/455",0.0139125343765325,0.162270027991598,0,0,2.49195966981806,10.6530405978326,"HERC5;PSMB4;RNF213;ANKIB1;UBXN2B;UBD;UBR5;PSMB1;PSMB9","High"
"105","Negative Regulation of Myeloid Cell Differentiation (GO:0045638)","2/22",0.0141853700940367,0.162270027991598,0,0,12.0817073170732,51.4142385392671,"HSPA9;ZBTB16","High"
"106","Positive Regulation of Telomere Maintenance via Telomerase (GO:0032212)","2/22",0.0141853700940367,0.162270027991598,0,0,12.0817073170732,51.4142385392671,"CCT8;HNRNPA1","High"
"107","Regulation of Biosynthetic Process (GO:0009889)","2/22",0.0141853700940367,0.162270027991598,0,0,12.0817073170732,51.4142385392671,"MID1IP1;RNASE1","High"
"108","ATP Metabolic Process (GO:0046034)","3/62",0.0148507442919462,0.166764321223322,0,0,6.16876364770718,25.9686769871595,"LDHA;ENO1;ALDOB","High"
"109","Antiviral Innate Immune Response (GO:0140374)","3/62",0.0148507442919462,0.166764321223322,0,0,6.16876364770718,25.9686769871595,"CXCL10;IFIT3;IFIT2","High"
"110","Regulatory ncRNA-mediated Post-Transcriptional Gene Silencing (GO:0035194)","2/23",0.0154525398479294,0.168874185480942,0,0,11.5058072009292,47.9790077462714,"HELZ2;TNRC6A","High"
"111","Positive Regulation of Phosphate Metabolic Process (GO:0045937)","2/23",0.0154525398479294,0.168874185480942,0,0,11.5058072009292,47.9790077462714,"GLMN;S100A9","High"
"112","Maturation of LSU-rRNA (GO:0000470)","2/23",0.0154525398479294,0.168874185480942,0,0,11.5058072009292,47.9790077462714,"RPL7A;RPL7L1","High"
"113","Regulation of Extracellular Matrix Organization (GO:1903053)","2/24",0.0167664329236635,0.177758555899142,0,0,10.9822616407982,44.8996196576441,"GLMN;RUNX1","High"
"114","Negative Regulation of Protein Localization to Cell Periphery (GO:1904376)","2/24",0.0167664329236635,0.177758555899142,0,0,10.9822616407982,44.8996196576441,"GBP1;BCL2L1","High"
"115","Negative Regulation of Receptor-Mediated Endocytosis (GO:0048261)","2/24",0.0167664329236635,0.177758555899142,0,0,10.9822616407982,44.8996196576441,"APOC1;RNASE1","High"
"116","Regulation of Phosphorylation (GO:0042325)","3/65",0.0168463990884807,0.177758555899142,0,0,5.86938452404512,23.9683263395479,"STAT2;GLMN;S100A9","High"
"117","Negative Regulation of Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage (GO:1902230)","2/25",0.0181261962179596,0.184887201423188,0,0,10.5042417815483,42.1261805913072,"S100A9;BCL2L1","High"
"118","Bile Acid and Bile Salt Transport (GO:0015721)","2/25",0.0181261962179596,0.184887201423188,0,0,10.5042417815483,42.1261805913072,"AKR1C1;AKR1C4","High"
"119","Regulation of Toll-Like Receptor Signaling Pathway (GO:0034121)","2/25",0.0181261962179596,0.184887201423188,0,0,10.5042417815483,42.1261805913072,"S100A9;S100A8","High"
"120","Positive Regulation of Telomere Maintenance via Telomere Lengthening (GO:1904358)","2/25",0.0181261962179596,0.184887201423188,0,0,10.5042417815483,42.1261805913072,"CCT8;HNRNPA1","High"
"121","Reg of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Sgnlng Pway (GO:1902235)","2/26",0.0195309874193332,0.188235658277668,0,0,10.0660569105691,39.6175134450351,"TXNDC12;BCL2L1","High"
"122","Regulation of Fatty Acid Biosynthetic Process (GO:0042304)","2/26",0.0195309874193332,0.188235658277668,0,0,10.0660569105691,39.6175134450351,"MID1IP1;APOC1","High"
"123","Negative Regulation of Lipid Biosynthetic Process (GO:0051055)","2/26",0.0195309874193332,0.188235658277668,0,0,10.0660569105691,39.6175134450351,"APOC1;AKR1C3","High"
"124","NADH Metabolic Process (GO:0006734)","2/26",0.0195309874193332,0.188235658277668,0,0,10.0660569105691,39.6175134450351,"GPD1;ENO1","High"
"125","Fatty Acid Derivative Biosynthetic Process (GO:1901570)","2/26",0.0195309874193332,0.188235658277668,0,0,10.0660569105691,39.6175134450351,"GGT7;ACACA","High"
"126","Regulation of Actin Filament Bundle Assembly (GO:0032231)","2/26",0.0195309874193332,0.188235658277668,0,0,10.0660569105691,39.6175134450351,"PLEK;RNASE1","High"
"127","Regulation of Cell Size (GO:0008361)","2/26",0.0195309874193332,0.188235658277668,0,0,10.0660569105691,39.6175134450351,"PLEK;RNASE1","High"
"128","Positive Regulation of Apoptotic Signaling Pathway (GO:2001235)","3/70",0.0204902552696696,0.1945415853192,0,0,5.42999725299881,21.110775132134,"RPS3;S100A9;S100A8","High"
"129","Negative Regulation of Protein Localization to Plasma Membrane (GO:1903077)","2/27",0.0209799748873647,0.1945415853192,0,0,9.66292682926829,37.3393550083645,"GBP1;BCL2L1","High"
"130","Regulation of Myeloid Cell Differentiation (GO:0045637)","2/27",0.0209799748873647,0.1945415853192,0,0,9.66292682926829,37.3393550083645,"HSPA9;ZBTB16","High"
"131","Striated Muscle Cell Development (GO:0055002)","2/27",0.0209799748873647,0.1945415853192,0,0,9.66292682926829,37.3393550083645,"LMOD1;MYH11","High"
"132","Gluconeogenesis (GO:0006094)","2/27",0.0209799748873647,0.1945415853192,0,0,9.66292682926829,37.3393550083645,"RBP4;ENO1","High"
"133","Monocarboxylic Acid Transport (GO:0015718)","3/72",0.0220594738563445,0.200774752866978,0,0,5.27207255268072,20.1077538645064,"AKR1C1;UGT1A3;AKR1C4","High"
"134","ADP Catabolic Process (GO:0046032)","2/28",0.0224723375349478,0.200774752866978,0,0,9.29080675422139,35.2629798820361,"LDHA;ENO1","High"
"135","Positive Regulation of Microtubule Polymerization or Depolymerization (GO:0031112)","2/28",0.0224723375349478,0.200774752866978,0,0,9.29080675422139,35.2629798820361,"RPS3;RNASE1","High"
"136","Glycolytic Process (GO:0006096)","2/28",0.0224723375349478,0.200774752866978,0,0,9.29080675422139,35.2629798820361,"LDHA;ENO1","High"
"137","Membrane Fusion (GO:0061025)","2/28",0.0224723375349478,0.200774752866978,0,0,9.29080675422139,35.2629798820361,"UBXN2B;STX3","High"
"138","DNA Replication (GO:0006260)","3/73",0.0228680479779865,0.202829642935184,0,0,5.19649430324277,19.6324314895913,"POLD2;POLE3;SSBP1","High"
"139","Positive Regulation of Cytoskeleton Organization (GO:0051495)","3/74",0.0236925985786291,0.208631227771526,0,0,5.12304501857772,19.1734702524078,"PRKCE;PLEK;LMOD1","High"
"140","Negative Regulation of Protein Localization to Membrane (GO:1905476)","2/29",0.0240072647270386,0.209892085899252,0,0,8.94625112917796,33.3641382030901,"GBP1;BCL2L1","High"
"141","Positive Regulation of Protein Localization to Membrane (GO:1905477)","3/76",0.0253896071481237,0.215963878081059,0,0,4.98218337675435,18.3016289230067,"DLG1;PRKCE;STX3","High"
"142","Negative Regulation of Response to Endoplasmic Reticulum Stress (GO:1903573)","2/30",0.0255839561452235,0.215963878081059,0,0,8.62630662020906,31.622227139558,"TXNDC12;BCL2L1","High"
"143","Positive Regulation of Catalytic Activity (GO:0043085)","2/30",0.0255839561452235,0.215963878081059,0,0,8.62630662020906,31.622227139558,"MID1IP1;SSBP1","High"
"144","Positive Regulation of Microtubule Polymerization (GO:0031116)","2/30",0.0255839561452235,0.215963878081059,0,0,8.62630662020906,31.622227139558,"RPS3;RNASE1","High"
"145","Hexose Biosynthetic Process (GO:0019319)","2/30",0.0255839561452235,0.215963878081059,0,0,8.62630662020906,31.622227139558,"RBP4;ENO1","High"
"146","Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)","5/202",0.0268400372785849,0.223454932475277,0,0,3.09565847967967,11.1996607764627,"CXCL10;CXCL11;CXCL9;FPR1;OXER1","High"
"147","Regulation of Cell Population Proliferation (GO:0042127)","12/769",0.0269227875649841,0.223454932475277,0,0,1.96369812486061,7.09834108605336,"CXCL10;CXCL11;CXCL9;FTH1;STAT2;GLMN;AKR1C3;STX3;SOD2;S100A9;IFIT3;RUNX1","High"
"148","Positive Regulation of ATP-dependent Activity (GO:0032781)","2/31",0.0272016216820394,0.223454932475277,0,0,8.32842724978974,30.0196385163833,"ALDOB;SSBP1","High"
