Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Toxicity
Defense Response to Virus (GO:0051607),72/198,4.816076425313243e-11,2.0490216064059976e-8,0,0,2.815410270663189,66.88422778086594,RTP4;IFITM1;PHB1;IFIT5;DDX60L;IFIT1;LYST;IFIT3;IFIT2;OASL;UXT;IFIH1;PYCARD;DHX58;CASP1;TRIM25;TRIM21;NCK1;IFNAR2;GARIN5A;CXADR;RSAD2;NCBP1;RPSA;ZDHHC11;ATAD3A;NT5C3A;PLSCR1;IFI27;OAS1;PDE12;OAS2;IRF1;OAS3;DDIT4;IRF2;TRIM11;TRIM56;IFI6;NLRC5;UAP1;USP18;EXOSC5;IFI16;G3BP1;FADD;GBP2;APOBEC3F;TRIM41;STAT1;CARD8;STAT2;MX1;SMARCA5;EIF2AK2;AZIN2;ISG15;PML;BST2;ISG20;MOV10;CXCL10;UBE2W;MAVS;ZNFX1;CNOT7;BCL2;UBE2N;MAP3K14;MYD88;BCL2L1;RIGI,Low
Cellular Respiration (GO:0045333),39/85,6.078573013769995e-10,2.370643475370298e-7,0,0,4.156458596427927,88.20454439495117,NDUFB9;COX7B;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;ETFDH;NDUFB1;HCCS;COX7A2;UQCR10;COX5A;UQCRH;CHCHD5;ETFRF1;MFN2;NDUFV3;NDUFV2;NDUFV1;PPARGC1A;COX8A;NDUFA7;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC1;SDHB;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;MTFR1;UQCRC2,Low
"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",22/34,7.933353016871449e-10,2.8560070860737217e-7,0,0,8.961220878796816,187.78036864575205,NDUFB9;NDUFB8;NDUFA7;NDUFA6;NDUFB10;NDUFB6;NDUFB5;NDUFA4;NDUFB4;NDUFB3;NDUFA2;NDUFB1;NDUFC1;NDUFS8;NDUFS6;NDUFS5;NDUFAB1;NDUFS4;NDUFS3;NDUFV3;NDUFV2;NDUFV1,Low
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),127/455,3.766032201947288e-9,1.2589307646509507e-6,0,0,1.9158263809509672,37.1617514971502,UBE3C;UBE2D3;IPP;RNF19B;KEAP1;UBE2L6;UBE3A;UBE2L5;CCAR1;PSMD8;HERC5;UXT;PSMD9;NUB1;PSMD6;RNF115;RNF114;CDC23;KAT5;FBXO4;TRIM25;SKP1;FBXW4;RNF43;FBXW11;FBXO11;KCTD5;RNF40;CDC34;RNF128;WDR81;IFI27;TBL1XR1;RBCK1;KLHL18;PSMD11;TSG101;CUL5;UBR4;UBR2;KLHL12;UBE2J2;ANAPC11;RNF213;RNF216;RNF215;UBD;UBR5;PSMF1;XBP1;UBE2I;KLHL25;EDEM1;UBE2A;NTAN1;UBE2W;UBXN11;TOLLIP;UBE2N;UBA1;UBE2K;RNF11;USP33;TNFAIP3;PTPN23;ELOC;VPS37C;AXIN1;RAD23B;DDB1;PSMA5;PSMA6;RNF167;RNF144B;PSMA3;PSMA4;PSMA1;CHMP6;RNF166;CHMP5;RNF34;VPS4B;VPS4A;RNF8;RNF6;CBL;PSMB6;PCNP;ZNRF1;ZNRF2;PSMB5;MTA1;PSMB2;RNF139;PSMB3;HECTD3;MVB12A;RBBP6;TBL1X;DCAF11;RNF130;DCAF13;MARCHF6;RNF20;HUWE1;WWP2;PEX10;UBE2G2;PSMB8;PML;CHFR;PSMB9;CUL4A;RNF145;PINK1;ITCH;PSMC6;KLHL5;PSMC4;RNF149;KLHL7;NEDD4;KBTBD2;STUB1;TRIP12;ASB1;TAF1,Low
rRNA Processing (GO:0006364),44/110,9.876698987802315e-9,3.0815300841943224e-6,0,0,3.269219352923716,60.261806361545084,DDX47;NOP2;RPL11;NAT10;RPF1;MRM3;NOL6;RRP7A;EXOSC7;RPS14;RPL7A;SART1;RPS17;EXOSC5;EXOSC10;RPS19;RPL14;METTL5;RRP36;MTREX;RRP15;DCAF13;NOP14;WDR36;REXO1;UTP4;RIOK3;WDR74;DDX54;RPL35A;DDX52;RPS25;RPS28;NSA2;LSM6;RPS27;XRN2;SBDS;MPHOSPH10;TSR1;RPL27;RPL26;NOL11;MPHOSPH6,Low
Protein-Containing Complex Assembly (GO:0065003),96/323,1.0652146285229384e-8,3.1157527884295945e-6,0,0,2.08585062400476,38.291012082929264,DET1;COL16A1;CLTC;LAMC1;PIK3C2A;MED12;CHCHD4;ZC3H12A;SH3PXD2B;POGZ;CASP4;LONP1;CASP1;TMED2;DNM1L;TEAD1;BOK;NCK1;FGB;CCT2;CARD10;FGA;HGSNAT;TRAPPC2L;GPX4;DNAAF2;AXIN1;APOA4;TRAF1;MAPK8IP2;DARS1;CD2AP;DNM2;TAPBP;GAK;EID2;TRAPPC6A;BBS10;OAS1;PPIH;PPID;PFDN6;GAS7;VAMP3;YAP1;APCS;KMT2D;CDC123;PSMD11;TMED10;KMT2A;SRC;POMP;KLHL12;NOL3;NAPG;TMEM70;SLC9A1;HSPD1;PSMB5;CLTRN;KRIT1;LPXN;FADD;PPARGC1A;EPS15;GBP1;EIF4B;TRAPPC2;TCF7L2;CREBBP;NHERF2;TTC12;DMTN;RBPMS;NIFK;SLC31A1;HSPA4;PTGES3;TRAPPC4;ADRM1;HIP1R;PILRB;TBCA;PML;AFDN;FASN;CAPZA1;CAPZA2;SRPRA;PSMG1;ANKS4B;MDM4;SUGT1;FERMT2;HSPA1A,Low
Ribosome Biogenesis (GO:0042254),57/161,1.4717253711385364e-8,4.0515733746637355e-6,0,0,2.691880787567617,48.54603846711766,DDX47;PAK1IP1;NAT10;PWP2;RPS14;RPS17;XPO1;RPS19;MTREX;EIF2A;RPS12;RPS9;WDR36;AFG2A;DIMT1;RPS8;GTF3A;WDR74;DDX54;XRN2;SBDS;RPL27;NAF1;RPL26;NIP7;NOP2;RPL11;SDAD1;MRM3;NOL6;RRP7A;EXOSC7;EXOSC5;EXOSC10;RPS15A;RPL14;METTL5;RRP36;DCAF13;ABCF1;NOP14;NPM1;UTP4;KRR1;UTP3;RPL35A;CUL4A;RPS25;BOP1;RPS28;EIF5;RPS27;AIRIM;MPHOSPH10;RSL24D1;RPL26L1;RPS23,Low
Chromatin Remodeling (GO:0006338),81/262,2.1976622647063597e-8,5.713921888236535e-6,0,0,2.2034548626080266,38.85415100449215,PHB1;KDM5C;HDAC10;PWWP2B;CHD8;CHD7;EHMT1;CHD1;PHF8;KAT5;ZNF83;VPS72;DPF3;ARID2;SKP1;PRMT6;KDM6B;SS18;BRD1;PRMT2;PRMT1;USP3;SIRT7;CHD1L;BAZ1B;KAT2B;SFPQ;NR5A2;WAC;ASF1A;KMT2E;HDAC4;NFAT5;SMARCD1;HDAC2;SMARCD2;INO80D;HDAC3;SRCAP;HDAC1;ZBTB1;RNF8;BAZ2A;SUPT6H;HDAC7;CECR2;MTA1;RBBP4;TDG;UBR5;PCGF1;BRD9;MTA2;ZBTB7A;MORC2;MTA3;BRD4;SMARCE1;NPM1;CHTOP;KDM4B;KDM4C;PHF10;CBX3;MCRS1;SMARCA5;INO80;UBE2A;NPM3;PML;SMARCA4;COPRS;MCM3AP;CARM1;APLF;POLE3;TRIP12;HNRNPC;PKN1;ERCC6;ZNF335,Low
Aerobic Respiration (GO:0009060),35/81,3.091782231699487e-8,7.615547812817684e-6,0,0,3.725738152238268,64.42521467282437,NDUFB9;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;UQCRH;MFN2;DLAT;NDUFV3;NDUFV2;NDUFV1;NDUFA7;NDUFA6;IDH3G;NDUFA2;NDUFA1;NDUFC1;SDHD;ATP5F1C;SDHB;NDUFS8;SUCLA2;SDHAF2;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;SLC25A51;MTFR1;UQCRC2,Low
Protein Transport (GO:0015031),91/308,3.47693836421106e-8,8.13603577225388e-6,0,0,2.066477636868579,35.49077931244109,ARF1;CLSTN3;TMEM167A;CLTC;SNX13;ARL5B;DENND10;KIF13A;LAMP2;TMED3;TOM1;TIMM17A;ARFIP2;TMED2;TIMM17B;EIF2D;TMED5;WLS;ARRDC4;NDC1;SEC13;COG7;STX7;LMTK2;ZDHHC17;PDIA4;DNM2;RUFY1;RAB32;RCN3;CTTN;CANX;TXNIP;PICK1;PPARG;TSNARE1;VAMP5;BLZF1;CTAGE15;ARF6;RAB7A;MACF1;UNC119B;STX12;COPB2;RAB1A;RAB5C;TMED10;STX17;MTTP;VPS26C;LTBP3;DNAJC27;NAPG;STX11;HSP90B1;TIMM50;ARL17B;RAB21;SNX4;GGA1;SCFD1;GRPEL1;KIF3B;SVBP;MYO6;STX5;ROMO1;APOE;STX3;RAB28;RAB6A;SPTBN1;SNX6;HSPA9;NPM1;RIC1;SYNRG;CMTM6;ASPSCR1;DNAJC15;MCOLN1;RAB11A;EHD1;RAB10;GOLPH3;KRT18;RAB14;RAB18;COPG2;RAB5A,Low
Protein Metabolic Process (GO:0019538),157/614,4.311241843932044e-8,9.607910395048554e-6,0,0,1.7018975908472627,28.863255181951843,RPL31;UBE2D3;CISD1;PLOD2;UBE2L6;UBE3A;RPL8;RPL9;CISD3;CHCHD4;TGM1;PCMT1;NPEPPS;RPS14;RPS17;CAPNS1;RPS19;LAMP2;CAPN5;RPL36;LONP1;CAPN2;RPL35;FBXO6;CIAO2A;CAPN1;CIAO2B;GGT1;PRSS2;B2M;RPS12;CSNK1G3;RPS9;SERF1A;RPL21;RPS8;RPL23;RPSA;FBXO11;CLPX;EEF1A1;CDC34;BOLA3;EEF1A2;RPL27;ADAM8;KCTD11;RPL26;LAP3;RPL28;RPS4Y2;MRPL18;MTTP;MRPL12;MRPL13;GSPT2;DPP3;DPP4;NLN;ADAMTS13;BAG2;UBD;ADAMTS17;ABL2;APOE;CPA4;RPL41;YES1;UBE2I;AMBP;FUS;TYSND1;MRPL23;CYP4F11;MRPL30;RPS26;FAM111A;RPS25;RPS28;RPS27;BMP1;NAT8;RPS29;RPL27A;UBA3;RPS20;RSL24D1;RPS21;RPS23;ACHE;HBS1L;MRPS15;RNPEPL1;RPLP1;MRPS11;RPLP0;CTSZ;MRPL37;PCSK6;MRPL32;MRPL41;UBL5;RPL7A;CASP6;CASP4;CASP1;RPLP2;CTSH;MRPL9;CTSF;CTSD;CTSB;PRMT6;MANBA;GLRX5;CYP3A43;RPL13A;RABGGTB;UCHL3;RABGGTA;DARS1;MRPL52;SARS1;F9;YAE1;THOP1;RPL12;MRPS33;RPL11;MRPS34;SPG7;LMF2;MALT1;CLN6;LMF1;CLN5;HSPD1;PSMB5;RPS15A;SVBP;RPL14;D2HGDH;TBL1X;DTD1;LCMT1;RPL19;ABCF1;MBTPS1;MCRS1;RPL35A;WWP2;RPL23A;WARS1;ERP44;SPCS1;PSMC4;CAPN10,Low
Regulation of Viral Genome Replication (GO:0045069),30/66,7.401922719170039e-8,1.574590832987081e-5,0,0,4.077002660360627,66.94006593580458,IFITM1;CXCL8;IFIT5;IFIT1;HACD3;OASL;IFIH1;IFI16;APOBEC3F;RSAD2;MX1;EIF2AK2;ISG15;DDB1;BST2;ISG20;FAM111A;PLSCR1;MAVS;NR5A2;CNOT7;ZNFX1;OAS1;OAS2;PDE12;OAS3;PPIE;PPIH;TMEM39A;PPID,Low
Negative Regulation of Transcription by RNA Polymerase II (GO:0000122),180/732,9.000429800316173e-8,1.831391802846943e-5,0,0,1.61732271816458,26.238486991057975,PHB1;HDAC10;WWC1;CTNND1;UBE2D3;WWC2;ATN1;EHMT1;HNRNPU;KEAP1;ENO1;RBPJ;ETS2;UXT;RPS14;KAT5;WWC3;ZNF568;KMT5A;ZNF202;ZGPAT;RPL23;ZNF281;USP2;SOX13;ARID5B;DICER1;TLE5;RUNX1;THAP1;EID1;EID2;IFI27;TBL1XR1;EZR;MZF1;PPID;ATF4;PSMD10;NOTCH1;CTBP1;MAX;MAGED1;CTR9;CREM;SUPT4H1;ZBTB1;PHF21A;SDCBP;HMBOX1;ATXN1;DEAF1;NACC2;MBIP;ZBTB7A;SKIL;PRNP;CREBBP;JUN;XBP1;JUND;SMAD3;UBE2I;ZBTB14;ZBTB16;CAV1;ZBTB10;IRF2BP2;SUPT5H;NR0B2;NFKB1;NR2F6;POU6F1;SMARCA4;SMAD7;H1-5;DRAP1;EFNA1;NFKBIA;BMP2;DLG1;MAFB;CNOT2;MAFG;ID2;MAFF;PHF14;SNAI2;GTF2IRD1;MAFK;MDM4;OGT;ZNF653;NFE2L1;CC2D1A;FGFR2;EZH2;ZNF254;CITED2;CHD8;BHLHE41;HMGB2;SGF29;PHF6;ING3;VPS72;HJV;C1QBP;WDR5;LRRFIP1;NCK1;NKX3-1;KLF10;TGIF1;HSBP1;SIRT7;PARP9;ZHX1;NCOR2;DUSP22;ETV7;KAT2B;MED25;SARS1;SFPQ;CRY2;IRF2;RARA;CRY1;PPARG;PPARA;FBP1;JDP2;KANK2;HDAC4;YAP1;CEBPA;HDAC2;SP100;HDAC3;HDAC1;SRC;TMPRSS6;NR1I2;DDX20;ZBTB45;PURB;CUX2;RXRA;MTA1;IFI16;RBBP4;CUX1;ATXN1L;PCGF1;APBB2;RALY;ZNF589;TBL1X;SAMD1;MTA2;MTA3;JAZF1;TCFL5;MBD4;TCF7L2;STAT1;CNBP;WWP2;VEGFA;SKI;KLF7;NR6A1;NEDD4;POLE3;TAF7;TRIM37;HSPA1A;ZNF354B;TAF1,Low
Chromatin Organization (GO:0006325),93/323,9.484774409490184e-8,1.849531009850586e-5,0,0,1.9921437925615506,32.21494317463979,H2AX;USP36;KDM5C;HDAC10;PWWP2B;CHD8;CHD7;HP1BP3;H2AB1;HMGB2;EHMT1;HNRNPU;SMC5;CHD1;PHF8;CABIN1;ING5;HMGN4;CHAF1A;VPS72;DPF3;ARID2;HMGN3;SKP1;HMGN1;PRMT6;KDM6B;SS18;BRD1;PRMT2;PRMT1;NSMCE1;CHD1L;BAZ1B;KAT2B;SFPQ;EID3;NR5A2;NSMCE4A;PSME4;WAC;RAD54L2;ASF1A;L3MBTL1;HDAC4;SMARCD1;HDAC2;SMARCD2;INO80D;HDAC3;SRCAP;HDAC1;ZBTB1;RNF8;BAZ2A;CECR2;MTA1;H3C13;RBBP4;PCGF1;BRD9;MTA2;ZBTB7A;MORC2;MTA3;BRD4;H2AZ1;SMARCE1;NPM1;CHTOP;KDM4B;KDM4C;PHF10;CBX3;MCRS1;H2BC4;SMARCA5;INO80;UBE2A;NPM3;PML;SMARCA4;H1-5;PARP10;COPRS;CARM1;POLE3;PWWP3A;ANP32B;HNRNPC;PKN1;ERCC6;EZH2,Low
Protein Polyubiquitination (GO:0000209),71/228,1.1587208470840774e-7,2.1691254257413927e-5,0,0,2.223257746419818,35.50715806655112,UBE3C;FBXO28;UBE2D3;TNFAIP3;UBE2L6;UBE3A;UBE2L5;UXT;NPEPPS;RNF115;CDC23;RNF114;UBE2Q1;RUSC1;FBXO4;TRIM25;TRIM21;RNF152;TRIM22;SKP1;ARRDC4;ANAPC7;FBXW11;ZFP91;RNF41;RNF167;TRAF7;CDC34;IFI27;RBCK1;ZNF598;THOP1;RNF166;TRIM55;ANAPC2;TRIM56;RNF31;RNF34;CUL5;TNKS;MYCBP2;UBR4;RNF8;UBR2;RNF6;UBE2J2;ANAPC11;ZNRF1;ZNRF2;RNF213;RNF216;UBR5;MARCHF6;RNF20;HUWE1;PEX10;WWP2;UBE2G2;UBE2A;UBE2W;ITCH;NEDD4;CDC16;KBTBD2;BCL2;UBE2N;TPP2;TRIP12;STUB1;UBE2K;TAF1,Low
Modification-Dependent Protein Catabolic Process (GO:0019941),66/208,1.4690619786700882e-7,2.644311561606159e-5,0,0,2.283672155430341,35.93009091803604,RNF11;UBE3C;USP33;UBE2D3;KEAP1;RNF19B;UBE2L6;UBE3A;UBE2L5;CCAR1;HERC5;PSMD9;NUB1;CDC23;RNF114;FBXO4;LONP1;TRIM25;ELOC;FBXW4;RNF43;FBXO11;RNF40;DDB1;RNF144B;RNF167;CDC34;RNF128;WDR81;RNF166;PSMD11;RNF34;UBR4;RNF8;RNF6;UBE2J2;CBL;ANAPC11;RNF213;UBB;RNF215;UBD;RBBP6;PSMF1;RNF130;RNF20;XBP1;UBE2I;KLHL25;EDEM1;HUWE1;ISG15;UBE2G2;UBE2A;NTAN1;CHFR;ITCH;PINK1;RNF149;TOLLIP;NEDD4;TRIP12;UBA1;STUB1;UBE2K;TAF1,Low
Transcription by RNA Polymerase II (GO:0006366),64/200,1.5981140756820756e-7,2.770064397848931e-5,0,0,2.3116294591888713,36.17531682845377,ELL;ICE2;MED16;ELOC;NCBP1;SSU72;MED27;GTF2F1;ETV7;CREB1;XRN2;MED20;RARA;PPARG;IRF9;ATF4;NFAT5;CEBPD;CTR9;TAF9;SUPT4H1;ZBTB1;GTF2E1;SUPT6H;RXRA;POLR2A;DEAF1;POLR2B;TAF1C;LEO1;RPRD1B;RPRD1A;POLR2I;PPARGC1A;POLR2K;S100A10;TCFL5;MBD4;XBP1;NFYA;TAF13;TAF10;EAF1;ADRM1;TAF11;ELP2;GTF2H1;ELP4;GTF2H2;SUPT5H;ELL2;GTF2H4;ELL3;NFKB1;SETX;DRAP1;ERCC3;TCEA1;TAF7;TAF6;ERCC6;TAF4;TAF2;TAF1,Low
Ribonucleoprotein Complex Biogenesis (GO:0022613),44/120,2.0016514523653092e-7,3.345617427524874e-5,0,0,2.8373404571089345,43.763488444328225,PAK1IP1;NIP7;NOP2;RPL11;NAT10;PWP2;SDAD1;NOL6;RRP7A;RPS14;RPS17;XPO1;EXOSC10;RPS15A;RPS19;RPL14;RRP36;RPS12;ABCF1;RPS9;NOP14;WDR36;NPM1;UTP4;AFG2A;DIMT1;RPS8;KRR1;UTP3;GTF3A;WDR74;RPL35A;CUL4A;RPS25;BOP1;RPS28;RPS27;AIRIM;MPHOSPH10;NAF1;RPL26;RSL24D1;RPL26L1;RPS23,Low
Antiviral Innate Immune Response (GO:0140374),28/62,2.367602175595514e-7,3.8208200626851745e-5,0,0,4.027143974280998,61.438986180495746,PHB1;UAP1;IFIT1;USP18;IFIT3;IFIT2;OASL;IFIH1;DHX58;TRIM25;TRIM21;NCK1;CARD8;MX1;SMARCA5;EIF2AK2;RPSA;ZDHHC11;ATAD3A;CXCL10;UBE2W;MAVS;OAS1;OAS2;PDE12;OAS3;UBE2N;RIGI,Low
