Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Toxicity
Cellular Response to Chemokine (GO:1990869),4/48,8.695464420287416e-4,0.050723542451676595,0,0,10.333333333333334,72.82456773699258,CXCL10;CXCL9;CXCL11;CCL15,High
Primary Alcohol Metabolic Process (GO:0034308),4/48,8.695464420287416e-4,0.050723542451676595,0,0,10.333333333333334,72.82456773699258,RBP4;AKR1C1;AKR1C3;AKR1C4,High
Regulation of Interleukin-2 Production (GO:0032663),4/50,0.001015060823644201,0.0515383054219798,0,0,9.883058470764619,68.12201207380177,GLMN;RPS3;GBP1;RUNX1,High
Neutrophil Migration (GO:1990266),4/50,0.001015060823644201,0.0515383054219798,0,0,9.883058470764619,68.12201207380177,CXCL10;CXCL9;S100A9;S100A8,High
Xenobiotic Catabolic Process (GO:0042178),3/23,0.0010767440697671746,0.0515383054219798,0,0,16.973142857142857,115.99129350023199,PRKCE;CYP2C19;UGT1A7,High
Prostanoid Metabolic Process (GO:0006692),3/23,0.0010767440697671746,0.0515383054219798,0,0,16.973142857142857,115.99129350023199,AKR1C1;AKR1C3;AKR1C4,High
Regulation of Lipid Metabolic Process (GO:0019216),4/51,0.0010938742375277346,0.0515383054219798,0,0,9.672291513817559,65.94596924277049,RNF213;MID1IP1;APOC1;CERS2,High
Negative Regulation of Lipase Activity (GO:0060192),2/6,0.0011540505832049648,0.05235970238615118,0,0,56.30113636363637,380.84775770939854,APOC1;PLIN5,High
Regulation of Protein Localization to Plasma Membrane (GO:1903076),5/90,0.0012599103105388589,0.053401798432235976,0,0,6.710982658959537,44.80731685683983,DLG1;PRKCE;STX3;GBP1;BCL2L1,High
Regulation of Release of Sequestered Calcium Ion Into Cytosol (GO:0051279),4/53,0.0012642058404366068,0.053401798432235976,0,0,9.276565798733287,61.905409960483915,CXCL10;CXCL9;CXCL11;CALM2,High
Retinoic Acid Metabolic Process (GO:0042573),3/25,0.0013802273353133178,0.05621773852033546,0,0,15.428571428571429,101.60496603225529,UGT1A1;UGT1A3;UGT1A7,High
Macromolecule Biosynthetic Process (GO:0009059),7/189,0.001545999744306227,0.05621773852033546,0,0,4.417453891138102,28.590134832711318,RPL7A;ABCC6;RPS3;RPL38;RPL27;RPS20;RPS21,High
Diterpenoid Metabolic Process (GO:0016101),3/26,0.001550109312440966,0.05621773852033546,0,0,14.757018633540373,95.46949649630444,AKR1C1;AKR1C3;AKR1C4,High
Positive Regulation of Interleukin-2 Production (GO:0032743),3/26,0.001550109312440966,0.05621773852033546,0,0,14.757018633540373,95.46949649630444,GLMN;RPS3;RUNX1,High
Glycerol Transmembrane Transport (GO:0015793),2/7,0.001606221100581013,0.05621773852033546,0,0,45.038636363636364,289.7727764398422,AQP7B;AQP7,High
Leukocyte Aggregation (GO:0070486),2/7,0.001606221100581013,0.05621773852033546,0,0,45.038636363636364,289.7727764398422,S100A9;S100A8,High
Positive Regulation of Supramolecular Fiber Organization (GO:1902905),5/98,0.0018390336734197504,0.06257822916497761,0,0,6.131207657405681,38.61750353810372,PRKCE;PLEK;LMOD1;RPS3;RNASE1,High
Regulation of Reactive Oxygen Species Metabolic Process (GO:2000377),4/61,0.002132194829358463,0.0705929369179491,0,0,7.971365194595685,49.028705816527506,AKR1C1;AKR1C3;RNASE1;PLIN5,High
Lipid Metabolic Process (GO:0006629),8/259,0.002287218558398648,0.07373270352732483,0,0,3.66927583782517,22.310733797572908,UGT2B10;UGT1A1;APOC1;AKR1C3;AKR1C4;CYP2C19;UGT2B7;UGT1A7,High
Inflammatory Response (GO:0006954),8/261,0.0023984239608850003,0.07533511159190065,0,0,3.639897698209719,21.959296941790203,CXCL10;GSDMB;CXCL9;FPR1;RNASE1;S100A9;S100A8;CCL15,High
Granulocyte Chemotaxis (GO:0071621),4/64,0.0025430038578639854,0.07787949314708455,0,0,7.571647509578544,45.23612111197446,CXCL10;CXCL9;S100A9;S100A8,High
Regulation of Respiratory Burst (GO:0060263),2/9,0.0027214376879034097,0.07937526589718279,0,0,32.16720779220779,189.99866795620702,RNASE1;S100A9,High
Progesterone Metabolic Process (GO:0042448),2/9,0.0027214376879034097,0.07937526589718279,0,0,32.16720779220779,189.99866795620702,AKR1C3;AKR1C4,High
Cortical Cytoskeleton Organization (GO:0030865),3/33,0.0031078484420324053,0.08853754282534178,0,0,11.309714285714286,65.3003066917836,DLG1;PLEK;RNASE1,High
Copper Ion Transport (GO:0006825),2/10,0.0033819400511227505,0.09218841211371054,0,0,28.144886363636363,160.12486394918403,STEAP4;CUTC,High
Negative Regulation of Small Molecule Metabolic Process (GO:0062014),3/34,0.0033865130980546727,0.09218841211371054,0,0,10.944331797235023,62.250860984654416,UGT1A1;UGT1A3;UGT1A7,High
Positive Regulation of Apoptotic Signaling Pathway (GO:2001235),4/70,0.003521577003694379,0.09378112672881771,0,0,6.881226053639847,38.87098886439329,RPS3;G0S2;S100A9;S100A8,High
Positive Regulation of Protein Polymerization (GO:0032273),4/71,0.0037063005581935075,0.09660038688908609,0,0,6.7781780751415335,37.94235011882812,PRKCE;LMOD1;RPS3;RNASE1,High
Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844),5/116,0.003822202730860377,0.09754579886049919,0,0,5.132270999323023,28.570985138676022,CXCL10;CXCL11;CXCL9;S100A9;CCL15,High
Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705),3/38,0.0046517099094539206,0.11331249167182961,0,0,9.691591836734695,52.048891711395285,CNN1;IGFBP5;MMP2,High
Apoptotic Process (GO:0006915),7/232,0.004830316506120522,0.11331249167182961,0,0,3.5654061078622483,19.013752017926787,DMPK;PRKCE;ZBTB16;GLMN;PAEP;IFIT2;BCL2L1,High
Translation (GO:0006412),7/232,0.004830316506120522,0.11331249167182961,0,0,3.5654061078622483,19.013752017926787,RPL7A;RPS3;RPL38;RPL27;RPS20;MRPL45;RPS21,High
DNA Strand Elongation Involved in DNA Replication (GO:0006271),2/12,0.004902499639679159,0.11331249167182961,0,0,22.513636363636362,119.7277449704833,POLD2;POLE3,High
T Cell Chemotaxis (GO:0010818),2/12,0.004902499639679159,0.11331249167182961,0,0,22.513636363636362,119.7277449704833,CXCL10;CXCL11,High
Positive Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001244),3/39,0.0050067565763410975,0.11357920011144157,0,0,9.421904761904761,49.90751825690778,RPS3;S100A9;S100A8,High
Monocarboxylic Acid Metabolic Process (GO:0032787),5/127,0.005604616833965472,0.12379190513783529,0,0,4.6669193594238605,24.194078070074607,LDHA;UGT1A1;AKR1C1;UGT1A3;UGT1A7,High
Proteolysis Involved in Protein Catabolic Process (GO:0051603),4/80,0.005672137994120425,0.12379190513783529,0,0,5.972776769509982,30.8923312685862,PSMB1;UBC;GLMN;PRPF19,High
Regulation of Pattern Recognition Receptor Signaling Pathway (GO:0062207),2/13,0.0057601131370258055,0.12379190513783529,0,0,20.46590909090909,105.53856239639866,S100A9;S100A8,High
Mitochondrial Transport (GO:0006839),3/43,0.0065879050227847956,0.1387159628277885,0,0,8.478,42.58092357205864,TIMM10;TOMM20;BCL2L1,High
Protein Homotrimerization (GO:0070207),2/14,0.006681013719868997,0.1387159628277885,0,0,18.759469696969695,93.95653287434094,STEAP4;S100A9,High
Positive Regulation of Calcium Ion Transmembrane Transport (GO:1904427),3/45,0.007477498052324046,0.14317367545802318,0,0,8.073469387755102,39.526551841832635,CXCL10;CXCL9;CXCL11,High
Endothelial Cell Migration (GO:0043542),3/45,0.007477498052324046,0.14317367545802318,0,0,8.073469387755102,39.526551841832635,GLMN;S100A9;S100A8,High
Regulation of Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage (GO:1902229),2/15,0.00766401988898197,0.14317367545802318,0,0,17.31555944055944,84.34787596427802,RPS3;BCL2L1,High
Retinal Metabolic Process (GO:0042574),2/15,0.00766401988898197,0.14317367545802318,0,0,17.31555944055944,84.34787596427802,AKR1C1;AKR1C3,High
Copper Ion Homeostasis (GO:0055070),2/15,0.00766401988898197,0.14317367545802318,0,0,17.31555944055944,84.34787596427802,MT2A;CUTC,High
Protein Trimerization (GO:0070206),2/15,0.00766401988898197,0.14317367545802318,0,0,17.31555944055944,84.34787596427802,STEAP4;S100A9,High
protein-RNA Complex Assembly (GO:0022618),5/138,0.007906243907862523,0.14317367545802318,0,0,4.278543178756139,20.708587380123717,GEMIN4;RPS27L;RPL38;EIF2S2;PRPF19,High
Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001242),3/46,0.007947599943792306,0.14317367545802318,0,0,7.88531561461794,38.12459647021238,S100A9;S100A8;BCL2L1,High
Regulation of Calcium-Mediated Signaling (GO:0050848),3/46,0.007947599943792306,0.14317367545802318,0,0,7.88531561461794,38.12459647021238,PLEK;GBP1;CALM2,High
Cellular Response to Hormone Stimulus (GO:0032870),4/89,0.00823425004671812,0.14618777256854631,0,0,5.337931034482758,25.619149055896212,AKR1C1;AKR1C3;AKR1C4;CACNA1H,High
Ruffle Organization (GO:0031529),2/16,0.008707965958832876,0.1523894042795753,0,0,16.07792207792208,76.26589742160017,PLEK;RNASE1,High
Cortical Actin Cytoskeleton Organization (GO:0030866),2/17,0.009811701864131647,0.16928640540227138,0,0,15.00530303030303,69.387215232251,DLG1;PLEK,High
Antimicrobial Humoral Response (GO:0019730),5/147,0.010223122552557926,0.17393507120671473,0,0,4.005536106814296,18.357785378313057,CXCL10;CXCL11;CXCL9;S100A9;CCL15,High
Organic Hydroxy Compound Transport (GO:0015850),3/51,0.010556485349035714,0.17714650072011986,0,0,7.062142857142857,32.1399172480161,RBP4;AKR1C1;AKR1C4,High
Fluid Transport (GO:0042044),2/18,0.010974092982924984,0.17924351872110805,0,0,14.066761363636363,63.47229336757853,AQP7B;AQP7,High
Water Transport (GO:0006833),2/18,0.010974092982924984,0.17924351872110805,0,0,14.066761363636363,63.47229336757853,AQP7B;AQP7,High
Positive Regulation of Reactive Oxygen Species Metabolic Process (GO:2000379),3/52,0.011130748266761118,0.17941008719450485,0,0,6.917667638483965,31.115972628299023,PRKCE;AKR1C1;AKR1C3,High
Negative Regulation of Lipid Catabolic Process (GO:0050995),2/19,0.012194019953514332,0.19150864670583406,0,0,13.238636363636363,58.34015001886807,APOC1;PLIN5,High
Cell Projection Organization (GO:0030030),2/19,0.012194019953514332,0.19150864670583406,0,0,13.238636363636363,58.34015001886807,PLEK;RNASE1,High
Hemopoiesis (GO:0030097),4/101,0.01268863289466661,0.19644301970205388,0,0,4.674724493423391,20.414749680691077,MFAP5;ZBTB16;PLEK;RUNX1,High
Positive Regulation of Protein Localization to Plasma Membrane (GO:1903078),3/55,0.012960265293102766,0.19644301970205388,0,0,6.5175824175824175,28.32454711821305,DLG1;PRKCE;STX3,High
Regulation of Fibroblast Migration (GO:0010762),2/20,0.013470378493855123,0.19644301970205388,0,0,12.502525252525253,53.85165429885327,PRKCE;RNASE1,High
T Cell Migration (GO:0072678),2/20,0.013470378493855123,0.19644301970205388,0,0,12.502525252525253,53.85165429885327,CXCL10;CXCL11,High
Regulation of Sodium Ion Transmembrane Transport (GO:1902305),2/20,0.013470378493855123,0.19644301970205388,0,0,12.502525252525253,53.85165429885327,DLG1;PRKCE,High
Cellular Response to Fatty Acid (GO:0071398),2/20,0.013470378493855123,0.19644301970205388,0,0,12.502525252525253,53.85165429885327,AKR1C3;AKR1C4,High
Positive Regulation of Protein Localization to Cell Periphery (GO:1904377),3/57,0.014269669056278392,0.2012700553493098,0,0,6.275555555555556,26.668720371284397,DLG1;PRKCE;STX3,High
Myeloid Cell Differentiation (GO:0030099),3/57,0.014269669056278392,0.2012700553493098,0,0,6.275555555555556,26.668720371284397,HSPA9;ZBTB16;RUNX1,High
Defense Response to Bacterium (GO:0042742),6/221,0.01437358112241822,0.2012700553493098,0,0,3.1812330989724176,13.495946871350142,GSDMB;RNF213;RNASE1;S100A9;GBP1;S100A8,High
Positive Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904707),2/21,0.014802079228239744,0.2012700553493098,0,0,11.8438995215311,49.89820205300433,IGFBP5;MMP2,High
Lymphocyte Chemotaxis (GO:0048247),2/21,0.014802079228239744,0.2012700553493098,0,0,11.8438995215311,49.89820205300433,CXCL10;CXCL11,High
Regulation of Cardiac Muscle Cell Proliferation (GO:0060043),2/21,0.014802079228239744,0.2012700553493098,0,0,11.8438995215311,49.89820205300433,RBP4;RUNX1,High
Muscle Organ Development (GO:0007517),3/58,0.014951489825948728,0.2012700553493098,0,0,6.161142857142857,25.894940438986644,CXCL10;COL6A3;CACNA1H,High
Positive Regulation of Cell Growth (GO:0030307),4/107,0.015397240529197286,0.20501760487246387,0,0,4.401071309005691,18.368165856833116,GOLGA4;S100A9;TEAD1;S100A8,High
Negative Regulation of Myeloid Cell Differentiation (GO:0045638),2/22,0.016188047511993094,0.21096125747012276,0,0,11.251136363636364,46.393859590929104,HSPA9;ZBTB16,High
Regulation of Biosynthetic Process (GO:0009889),2/22,0.016188047511993094,0.21096125747012276,0,0,11.251136363636364,46.393859590929104,MID1IP1;RNASE1,High
Regulatory ncRNA-mediated Post-Transcriptional Gene Silencing (GO:0035194),2/23,0.017627223249691515,0.22261184000899079,0,0,10.71482683982684,43.26980090896365,HELZ2;TNRC6A,High
Positive Regulation of Phosphate Metabolic Process (GO:0045937),2/23,0.017627223249691515,0.22261184000899079,0,0,10.71482683982684,43.26980090896365,GLMN;S100A9,High
Maturation of LSU-rRNA (GO:0000470),2/23,0.017627223249691515,0.22261184000899079,0,0,10.71482683982684,43.26980090896365,RPL7A;RPL7L1,High
Antiviral Innate Immune Response (GO:0140374),3/62,0.017860764921845924,0.22325956152307405,0,0,5.74227602905569,23.113515902198536,CXCL10;IFIT3;IFIT2,High
Regulation of Extracellular Matrix Organization (GO:1903053),2/24,0.019118560735771048,0.23188353367643103,0,0,10.227272727272727,40.47029641552493,GLMN;RUNX1,High
Negative Regulation of Protein Localization to Cell Periphery (GO:1904376),2/24,0.019118560735771048,0.23188353367643103,0,0,10.227272727272727,40.47029641552493,GBP1;BCL2L1,High
Negative Regulation of Receptor-Mediated Endocytosis (GO:0048261),2/24,0.019118560735771048,0.23188353367643103,0,0,10.227272727272727,40.47029641552493,APOC1;RNASE1,High
Regulation of Phosphorylation (GO:0042325),3/65,0.020234838631219228,0.2372017200858511,0,0,5.463594470046083,21.30992782516277,STAT2;GLMN;S100A9,High
Negative Regulation of Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage (GO:1902230),2/25,0.020661028476672772,0.2372017200858511,0,0,9.78211462450593,37.94977272543968,S100A9;BCL2L1,High
Bile Acid and Bile Salt Transport (GO:0015721),2/25,0.020661028476672772,0.2372017200858511,0,0,9.78211462450593,37.94977272543968,AKR1C1;AKR1C4,High
Regulation of Toll-Like Receptor Signaling Pathway (GO:0034121),2/25,0.020661028476672772,0.2372017200858511,0,0,9.78211462450593,37.94977272543968,S100A9;S100A8,High
Regulation of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746),2/25,0.020661028476672772,0.2372017200858511,0,0,9.78211462450593,37.94977272543968,SMOC2;DCN,High
Gene Expression (GO:0010467),8/381,0.021040598508152618,0.2372017200858511,0,0,2.453745466014824,9.4746509143514,RPL7A;ABCC6;RPS3;RPL38;RPL27;RPS20;THOC2;RPS21,High
Reg of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Sgnlng Pway (GO:1902235),2/26,0.022253609028013734,0.2372017200858511,0,0,9.374053030303031,35.67062541769929,TXNDC12;BCL2L1,High
Regulation of Fatty Acid Biosynthetic Process (GO:0042304),2/26,0.022253609028013734,0.2372017200858511,0,0,9.374053030303031,35.67062541769929,MID1IP1;APOC1,High
Negative Regulation of Lipid Biosynthetic Process (GO:0051055),2/26,0.022253609028013734,0.2372017200858511,0,0,9.374053030303031,35.67062541769929,APOC1;AKR1C3,High
Establishment or Maintenance of Apical/Basal Cell Polarity (GO:0035088),2/26,0.022253609028013734,0.2372017200858511,0,0,9.374053030303031,35.67062541769929,PATJ;DLG1,High
Fatty Acid Derivative Biosynthetic Process (GO:1901570),2/26,0.022253609028013734,0.2372017200858511,0,0,9.374053030303031,35.67062541769929,GGT7;ACACA,High
Regulation of Actin Filament Bundle Assembly (GO:0032231),2/26,0.022253609028013734,0.2372017200858511,0,0,9.374053030303031,35.67062541769929,PLEK;RNASE1,High
Regulation of Cell Size (GO:0008361),2/26,0.022253609028013734,0.2372017200858511,0,0,9.374053030303031,35.67062541769929,PLEK;RNASE1,High
Positive Regulation of Apoptotic Process (GO:0043065),7/313,0.022267916579488064,0.2372017200858511,0,0,2.6107862248213127,9.933019083744453,HSPA9;UBD;GLMN;RPS3;AKR1C3;IFIT2;BCL2L1,High
Negative Regulation of Protein Localization to Plasma Membrane (GO:1903077),2/27,0.02389529882521109,0.24598101731834945,0,0,8.998636363636363,33.60156995293796,GBP1;BCL2L1,High
Regulation of Mitochondrial Fission (GO:0090140),2/27,0.02389529882521109,0.24598101731834945,0,0,8.998636363636363,33.60156995293796,STAT2;DCN,High
Regulation of Myeloid Cell Differentiation (GO:0045637),2/27,0.02389529882521109,0.24598101731834945,0,0,8.998636363636363,33.60156995293796,HSPA9;ZBTB16,High
Striated Muscle Cell Development (GO:0055002),2/27,0.02389529882521109,0.24598101731834945,0,0,8.998636363636363,33.60156995293796,LMOD1;MYH11,High
Regulation of Heart Contraction (GO:0008016),3/70,0.024559061498941527,0.2507070861350281,0,0,5.054584221748401,18.735697881884875,DMPK;CALM2;CACNA1H,High
Establishment of Protein Localization to Mitochondrial Membrane (GO:0090151),2/28,0.025585108017102984,0.25481103512968417,0,0,8.652097902097902,31.716383022121978,TIMM10;TOMM20,High
Positive Regulation of Microtubule Polymerization or Depolymerization (GO:0031112),2/28,0.025585108017102984,0.25481103512968417,0,0,8.652097902097902,31.716383022121978,RPS3;RNASE1,High
Membrane Fusion (GO:0061025),2/28,0.025585108017102984,0.25481103512968417,0,0,8.652097902097902,31.716383022121978,UBXN2B;STX3,High
Chromatin Organization (GO:0006325),7/323,0.025862746038321224,0.25549890239470563,0,0,2.5268709749056186,9.235591422601427,H1-5;PER1;KDM4B;EID3;KDM5D;POLE3;CABIN1,High
Monocarboxylic Acid Transport (GO:0015718),3/72,0.026417367886566963,0.25889020528835627,0,0,4.907577639751553,17.832829816406512,AKR1C1;UGT1A3;AKR1C4,High
Negative Regulation of Protein Localization to Membrane (GO:1905476),2/29,0.027322060314422116,0.26563114194577053,0,0,8.331228956228957,29.99293105589836,GBP1;BCL2L1,High
Positive Regulation of Cytoskeleton Organization (GO:0051495),3/74,0.02834900599909186,0.27344513660541364,0,0,4.768853118712274,16.9922024690185,PRKCE;PLEK;LMOD1,High
Negative Regulation of Response to Endoplasmic Reticulum Stress (GO:1903573),2/30,0.02910519281342937,0.2742604707419306,0,0,8.033279220779221,28.41241262329771,TXNDC12;BCL2L1,High
Regulation of Muscle Contraction (GO:0006937),2/30,0.02910519281342937,0.2742604707419306,0,0,8.033279220779221,28.41241262329771,CNN1;PPP1R12B,High
Positive Regulation of Microtubule Polymerization (GO:0031116),2/30,0.02910519281342937,0.2742604707419306,0,0,8.033279220779221,28.41241262329771,RPS3;RNASE1,High
Chromatin Remodeling (GO:0006338),6/262,0.030087002678582896,0.28134792581117596,0,0,2.6661518895348837,9.341295075402355,PER1;KDM4B;KDM5D;UBR5;GLMN;POLE3,High
Positive Regulation of Protein Localization to Membrane (GO:1905477),3/76,0.030353768493768477,0.28169216973383626,0,0,4.637729941291585,16.208099070545522,DLG1;PRKCE;STX3,High
Apoptotic Mitochondrial Changes (GO:0008637),2/32,0.03280621284208126,0.29549713773198194,0,0,7.496969696969697,25.618175280374953,IFIT2;BCL2L1,High
Bile Acid Metabolic Process (GO:0008206),2/32,0.03280621284208126,0.29549713773198194,0,0,7.496969696969697,25.618175280374953,AKR1C1;AKR1C4,High
Lipid Droplet Organization (GO:0034389),2/32,0.03280621284208126,0.29549713773198194,0,0,7.496969696969697,25.618175280374953,RNF213;PLIN5,High
Mitochondrial Membrane Organization (GO:0007006),2/32,0.03280621284208126,0.29549713773198194,0,0,7.496969696969697,25.618175280374953,HSPA9;BCL2L1,High
Positive Regulation of Growth (GO:0045927),3/79,0.033497403037753476,0.29710188592239595,0,0,4.453984962406015,15.127012849123474,TEAD1;S100A9;S100A8,High
Response to Tumor Necrosis Factor (GO:0034612),3/80,0.03458150600501835,0.29710188592239595,0,0,4.395918367346939,14.789787099865611,UBD;RPS3;GBP1,High
Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),5/202,0.034741514159640594,0.29710188592239595,0,0,2.8791702121416627,9.673493471087761,CXCL10;CXCL11;CXCL9;FPR1;OXER1,High
Regulation of Cytokinesis (GO:0032465),3/81,0.03568363835179918,0.29710188592239595,0,0,4.339340659340659,14.463295816550998,PRKCE;CALM2;BCL2L1,High
Membraneless Organelle Assembly (GO:0140694),4/139,0.03579696609565701,0.29710188592239595,0,0,3.3524052788420606,11.163147971677162,RNF213;LMOD1;RPS3;TNRC6A,High
Negative Regulation of Endocytosis (GO:0045806),2/34,0.036680726793326894,0.29710188592239595,0,0,7.027698863636363,23.230085421001164,APOC1;RNASE1,High
Modification-Dependent Protein Catabolic Process (GO:0019941),5/208,0.03863177463664477,0.29710188592239595,0,0,2.7932173467353856,9.088235874871355,HERC5;RNF213;ANKIB1;UBD;UBC,High
Regulation of p38MAPK Cascade (GO:1900744),2/35,0.038680774586076716,0.29710188592239595,0,0,6.8143939393939394,22.16322059471492,PER1;DLG1,High
Platelet Aggregation (GO:0070527),2/35,0.038680774586076716,0.29710188592239595,0,0,6.8143939393939394,22.16322059471492,PLEK;CLIC1,High
Protein Homooligomerization (GO:0051260),4/143,0.03908444527099316,0.29710188592239595,0,0,3.255271644753163,10.55369064265215,STEAP4;TDO2;AKR1C1;S100A9,High
'De Novo' Post-Translational Protein Folding (GO:0051084),2/36,0.040721497672269645,0.29710188592239595,0,0,6.613636363636363,21.170244230563654,HSPA9;CCT8,High
Negative Regulation of Smooth Muscle Cell Proliferation (GO:0048662),2/36,0.040721497672269645,0.29710188592239595,0,0,6.613636363636363,21.170244230563654,CNN1;IGFBP5,High
Establishment or Maintenance of Epithelial Cell Apical/Basal Polarity (GO:0045197),2/36,0.040721497672269645,0.29710188592239595,0,0,6.613636363636363,21.170244230563654,PATJ;DLG1,High
Regulation of Blood Circulation (GO:1903522),2/36,0.040721497672269645,0.29710188592239595,0,0,6.613636363636363,21.170244230563654,DMPK;CACNA1H,High
Regulation of Sodium Ion Transport (GO:0002028),2/37,0.04280202257344225,0.29710188592239595,0,0,6.424350649350649,20.244220528974974,PER1;DLG1,High
Spliceosomal snRNP Assembly (GO:0000387),2/37,0.04280202257344225,0.29710188592239595,0,0,6.424350649350649,20.244220528974974,GEMIN4;PRPF19,High
Intrinsic Apoptotic Signaling Pathway by P53 Class Mediator (GO:0072332),2/37,0.04280202257344225,0.29710188592239595,0,0,6.424350649350649,20.244220528974974,RPS27L;FHIT,High
Muscle Cell Differentiation (GO:0042692),2/37,0.04280202257344225,0.29710188592239595,0,0,6.424350649350649,20.244220528974974,GLMN;MRTFA,High
Negative Regulation of Erythrocyte Differentiation (GO:0045647),1/5,0.043718990497635515,0.29710188592239595,0,0,27.991525423728813,87.61271057875058,HSPA9,High
Negative Regulation of Fibroblast Migration (GO:0010764),1/5,0.043718990497635515,0.29710188592239595,0,0,27.991525423728813,87.61271057875058,RNASE1,High
Negative Regulation of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043569),1/5,0.043718990497635515,0.29710188592239595,0,0,27.991525423728813,87.61271057875058,IGFBP5,High
L-phenylalanine Catabolic Process (GO:0006559),1/5,0.043718990497635515,0.29710188592239595,0,0,27.991525423728813,87.61271057875058,FAH,High
